Smart Shelf Finder - 100 Available Library Items

1. Arabic Chef Recipes (Book) - ISBN 9781-0791 - Shelf 1, Level 1, Position 1
2. Public Administration Journal (Journal) - ISSN 1000-0002 - Shelf 1, Level 1, Position 2
3. مجلة الإدارة العامة (Magazine) - ISSN 1000-0003 - Shelf 1, Level 1, Position 3
4. Introduction to AI (Book) - ISBN 9781-0792 - Shelf 1, Level 1, Position 4
5. Database Design Made Easy (Book) - ISBN 9781-0793 - Shelf 1, Level 1, Position 5
6. Library Cataloging Basics (Book) - ISBN 9781-0794 - Shelf 1, Level 2, Position 1
7. Cooking Life Magazine (Magazine) - ISSN 1000-0007 - Shelf 1, Level 2, Position 2
8. AI Research Bulletin (Journal) - ISSN 1000-0008 - Shelf 1, Level 2, Position 3
9. Children Stories Collection (Book) - ISBN 9781-0795 - Shelf 1, Level 2, Position 4
10. Smart Librarian Guide (Book) - ISBN 9781-0796 - Shelf 1, Level 2, Position 5
11. Modern Archives Handbook (Book) - ISBN 9781-0797 - Shelf 1, Level 3, Position 1
12. مجلة الطبخ العربي (Magazine) - ISSN 1000-0012 - Shelf 1, Level 3, Position 2
13. Urban Planning Review (Journal) - ISSN 1000-0013 - Shelf 1, Level 3, Position 3
14. Digital Learning Today (Magazine) - ISSN 1000-0014 - Shelf 1, Level 3, Position 4
15. Basics of Data Science (Book) - ISBN 9781-0798 - Shelf 1, Level 3, Position 5
16. تعلم البرمجة للأطفال (Book) - ISBN 9781-0799 - Shelf 1, Level 4, Position 1
17. Museum Studies Quarterly (Journal) - ISSN 1000-0017 - Shelf 1, Level 4, Position 2
18. Healthy Home Magazine (Magazine) - ISSN 1000-0018 - Shelf 1, Level 4, Position 3
19. World History Notes (Book) - ISBN 9781-0800 - Shelf 1, Level 4, Position 4
20. Arabic Poetry Selections (Book) - ISBN 9781-0801 - Shelf 1, Level 4, Position 5
21. مجلة العلوم الحديثة (Magazine) - ISSN 1000-0021 - Shelf 2, Level 1, Position 1
22. Applied Mathematics Journal (Journal) - ISSN 1000-0022 - Shelf 2, Level 1, Position 2
23. Beginner Robotics (Book) - ISBN 9781-0802 - Shelf 2, Level 1, Position 3
24. Travel Notes Arabia (Magazine) - ISSN 1000-0024 - Shelf 2, Level 1, Position 4
25. Foundations of Economics (Book) - ISBN 9781-0803 - Shelf 2, Level 1, Position 5
26. مجلة المكتبات العربية (Journal) - ISSN 1000-0026 - Shelf 2, Level 2, Position 1
27. Creative Writing Workshop (Book) - ISBN 9781-0804 - Shelf 2, Level 2, Position 2
28. Architecture Monthly (Magazine) - ISSN 1000-0028 - Shelf 2, Level 2, Position 3
29. Cybersecurity Practice (Book) - ISBN 9781-0805 - Shelf 2, Level 2, Position 4
30. Information Systems Review (Journal) - ISSN 1000-0030 - Shelf 2, Level 2, Position 5
31. فن إدارة الوقت (Book) - ISBN 9781-0806 - Shelf 2, Level 3, Position 1
32. Education Policy Journal (Journal) - ISSN 1000-0032 - Shelf 2, Level 3, Position 2
33. Garden Life Magazine (Magazine) - ISSN 1000-0033 - Shelf 2, Level 3, Position 3
34. Cloud Computing Primer (Book) - ISBN 9781-0807 - Shelf 2, Level 3, Position 4
35. Statistics for Managers (Book) - ISBN 9781-0808 - Shelf 2, Level 3, Position 5
36. مجلة الأطفال والقراءة (Magazine) - ISSN 1000-0036 - Shelf 2, Level 4, Position 1
37. Renewable Energy Journal (Journal) - ISSN 1000-0037 - Shelf 2, Level 4, Position 2
38. Classic Drama Collection (Book) - ISBN 9781-0809 - Shelf 2, Level 4, Position 3
39. City Culture Magazine (Magazine) - ISSN 1000-0039 - Shelf 2, Level 4, Position 4
40. Practical Project Management (Book) - ISBN 9781-0810 - Shelf 2, Level 4, Position 5
41. Arabic Grammar Essentials (Book) - ISBN 9781-0811 - Shelf 3, Level 1, Position 1
42. مجلة التقنية اليومية (Magazine) - ISSN 1000-0042 - Shelf 3, Level 1, Position 2
43. Healthcare Systems Journal (Journal) - ISSN 1000-0043 - Shelf 3, Level 1, Position 3
44. Marine Biology Notes (Book) - ISBN 9781-0812 - Shelf 3, Level 1, Position 4
45. Food Science Review (Journal) - ISSN 1000-0045 - Shelf 3, Level 1, Position 5
46. Desert Travel Guide (Book) - ISBN 9781-0813 - Shelf 3, Level 2, Position 1
47. مجلة التراث العربي (Magazine) - ISSN 1000-0047 - Shelf 3, Level 2, Position 2
48. Language Teaching Journal (Journal) - ISSN 1000-0048 - Shelf 3, Level 2, Position 3
49. Small Business Accounting (Book) - ISBN 9781-0814 - Shelf 3, Level 2, Position 4
50. Home Design Magazine (Magazine) - ISSN 1000-0050 - Shelf 3, Level 2, Position 5
51. Machine Learning Notes (Book) - ISBN 9781-0815 - Shelf 3, Level 3, Position 1
52. مجلة الصحة والأسرة (Magazine) - ISSN 1000-0052 - Shelf 3, Level 3, Position 2
53. Sociology Research Journal (Journal) - ISSN 1000-0053 - Shelf 3, Level 3, Position 3
