Smart Shelf Finder - 100 Available Library Items

1. Arabic Chef Recipes (Book) - Shelf 1, Level 1, Position 1
2. Public Administration Journal (Journal) - Shelf 1, Level 1, Position 2
3. مجلة الإدارة العامة (Magazine) - Shelf 1, Level 1, Position 3
4. Introduction to AI (Book) - Shelf 1, Level 1, Position 4
5. Database Design Made Easy (Book) - Shelf 1, Level 1, Position 5
6. Library Cataloging Basics (Book) - Shelf 1, Level 2, Position 1
7. Cooking Life Magazine (Magazine) - Shelf 1, Level 2, Position 2
8. AI Research Bulletin (Journal) - Shelf 1, Level 2, Position 3
9. Children Stories Collection (Book) - Shelf 1, Level 2, Position 4
10. Smart Librarian Guide (Book) - Shelf 1, Level 2, Position 5
11. Modern Archives Handbook (Book) - Shelf 1, Level 3, Position 1
12. مجلة الطبخ العربي (Magazine) - Shelf 1, Level 3, Position 2
13. Urban Planning Review (Journal) - Shelf 1, Level 3, Position 3
14. Digital Learning Today (Magazine) - Shelf 1, Level 3, Position 4
15. Basics of Data Science (Book) - Shelf 1, Level 3, Position 5
16. تعلم البرمجة للأطفال (Book) - Shelf 1, Level 4, Position 1
17. Museum Studies Quarterly (Journal) - Shelf 1, Level 4, Position 2
18. Healthy Home Magazine (Magazine) - Shelf 1, Level 4, Position 3
19. World History Notes (Book) - Shelf 1, Level 4, Position 4
20. Arabic Poetry Selections (Book) - Shelf 1, Level 4, Position 5
21. مجلة العلوم الحديثة (Magazine) - Shelf 2, Level 1, Position 1
22. Applied Mathematics Journal (Journal) - Shelf 2, Level 1, Position 2
23. Beginner Robotics (Book) - Shelf 2, Level 1, Position 3
24. Travel Notes Arabia (Magazine) - Shelf 2, Level 1, Position 4
25. Foundations of Economics (Book) - Shelf 2, Level 1, Position 5
26. مجلة المكتبات العربية (Journal) - Shelf 2, Level 2, Position 1
27. Creative Writing Workshop (Book) - Shelf 2, Level 2, Position 2
28. Architecture Monthly (Magazine) - Shelf 2, Level 2, Position 3
29. Cybersecurity Practice (Book) - Shelf 2, Level 2, Position 4
30. Information Systems Review (Journal) - Shelf 2, Level 2, Position 5
31. فن إدارة الوقت (Book) - Shelf 2, Level 3, Position 1
32. Education Policy Journal (Journal) - Shelf 2, Level 3, Position 2
33. Garden Life Magazine (Magazine) - Shelf 2, Level 3, Position 3
34. Cloud Computing Primer (Book) - Shelf 2, Level 3, Position 4
35. Statistics for Managers (Book) - Shelf 2, Level 3, Position 5
36. مجلة الأطفال والقراءة (Magazine) - Shelf 2, Level 4, Position 1
37. Renewable Energy Journal (Journal) - Shelf 2, Level 4, Position 2
38. Classic Drama Collection (Book) - Shelf 2, Level 4, Position 3
39. City Culture Magazine (Magazine) - Shelf 2, Level 4, Position 4
40. Practical Project Management (Book) - Shelf 2, Level 4, Position 5
41. Arabic Grammar Essentials (Book) - Shelf 3, Level 1, Position 1
42. مجلة التقنية اليومية (Magazine) - Shelf 3, Level 1, Position 2
43. Healthcare Systems Journal (Journal) - Shelf 3, Level 1, Position 3
44. Marine Biology Notes (Book) - Shelf 3, Level 1, Position 4
45. Food Science Review (Journal) - Shelf 3, Level 1, Position 5
46. Desert Travel Guide (Book) - Shelf 3, Level 2, Position 1
47. مجلة التراث العربي (Magazine) - Shelf 3, Level 2, Position 2
48. Language Teaching Journal (Journal) - Shelf 3, Level 2, Position 3
49. Small Business Accounting (Book) - Shelf 3, Level 2, Position 4
50. Home Design Magazine (Magazine) - Shelf 3, Level 2, Position 5
51. Machine Learning Notes (Book) - Shelf 3, Level 3, Position 1
52. مجلة الصحة والأسرة (Magazine) - Shelf 3, Level 3, Position 2
53. Sociology Research Journal (Journal) - Shelf 3, Level 3, Position 3
54. Beginner Spanish Reader (Book) - Shelf 3, Level 3, Position 4
55. Photography Monthly (Magazine) - Shelf 3, Level 3, Position 5
56. مبادئ علم النفس (Book) - Shelf 3, Level 4, Position 1
57. Legal Studies Journal (Journal) - Shelf 3, Level 4, Position 2
58. Sports Life Magazine (Magazine) - Shelf 3, Level 4, Position 3
59. Ethics in Technology (Book) - Shelf 3, Level 4, Position 4
60. Modern Finance Basics (Book) - Shelf 3, Level 4, Position 5
61. مجلة الفنون الجميلة (Magazine) - Shelf 4, Level 1, Position 1
62. Environmental Policy Journal (Journal) - Shelf 4, Level 1, Position 2
63. Astronomy for Beginners (Book) - Shelf 4, Level 1, Position 3
64. Public Health Review (Journal) - Shelf 4, Level 1, Position 4
65. Weekend Cooking Magazine (Magazine) - Shelf 4, Level 1, Position 5
66. القصص الشعبية العربية (Book) - Shelf 4, Level 2, Position 1
67. Operations Management Journal (Journal) - Shelf 4, Level 2, Position 2
68. Craft Ideas Magazine (Magazine) - Shelf 4, Level 2, Position 3
69. Network Administration Guide (Book) - Shelf 4, Level 2, Position 4
70. Comparative Literature Journal (Journal) - Shelf 4, Level 2, Position 5
71. Local History of Libraries (Book) - Shelf 4, Level 3, Position 1
72. مجلة رواد الأعمال (Magazine) - Shelf 4, Level 3, Position 2
73. Political Science Review (Journal) - Shelf 4, Level 3, Position 3
74. Practical Web Design (Book) - Shelf 4, Level 3, Position 4
